NodesNumber, EdgesNumber, EdgesP, PrefP, ReductionPref3, PrefExtensionsGas
5, 8, 0.33, 0.25, 1911494, 2634890
10, 45, 0.5, 0.25, 8334454, 18603509
15, 135, 0.66, 0.25, 26851083, 62785164
